City,Postcode,District,Lat,Long
Ljubljana,1000,Bezigrad ,46.07786242,14.51700697
Ljubljana,1000,Center ,46.04785598,14.51218028
Ljubljana,1231,Crnuce ,46.10313383,14.55610904
Ljubljana,1000,Dravlje ,46.07593396,14.45535839
Ljubljana,1000,Golovec ,46.04428114,14.55697918
Ljubljana,1000,Jarse ,46.07322602,14.55394374
Ljubljana,1000,Moste ,46.05459985,14.55839813
Ljubljana,1260,Polje ,46.06659253,14.61583456
Ljubljana,1000,Posavje ,46.09831235,14.49331976
Ljubljana,1000,Roznik ,46.05522482,14.46579947
Ljubljana,1000,Rudnik ,46.00991056,14.49868272
Ljubljana,1261,Sostro ,46.04675574,14.66401792
Ljubljana,1210,SSd ,46.09897672,14.45590035
Ljubljana,1000,Siska ,46.07188646,14.48771375
Ljubljana,1211,Smarna Gora ,46.13404616,14.46670958
Ljubljana,1000,Trnovo ,46.03366346,14.49346647
Ljubljana,1000,Vic,46.02503316,14.46173811
Villach,9601,Arnoldstein,46.55415824,13.70561909
Villach,9530,Bad Bleiberg,46.63059824,13.67986988
Villach,9584,Finkenstein am Faaker See,46.5667028,13.87102042
Villach,9611,Nötsch im Gailtal,46.59269369,13.62242146
Villach,9711,Paternion,46.71212997,13.63855415
Villach,9232,Rosegg,46.5970108,14.01445602
Villach,9184,Sankt Jakob im Rosental,46.5569847,14.07556658
Villach,9500,Meeting,46.61918612,13.84946319
Villach,9220,Velden am Wörther See,46.61809368,14.04151108
Villach,9542,Afritz am See,46.73058569,13.78720776
Villach,9543,Arriach,46.73044025,13.85035742
Villach,9613,Feistritz an der Gail,46.58543729,13.60724561
Villach,9544,Feld am See,46.78565704,13.74704415
Villach,9702,Ferndorf,46.73938809,13.62652846
Villach,9712,Fresach,46.7141743,13.6897046
Villach,9613,Hohenthurn,46.56873915,13.65777266
Villach,9714,Stockenboi,46.73217899,13.4954008
Villach,9721,Weißenstein,46.68667305,13.72392873
Villach,9241,Wernberg,46.62909106,13.94070456
Maribor,2000,Brezje–Dogoše–Zrkovci,46.53713148,15.70012696
Maribor,2000,Center,46.56892153,15.66668395
Maribor,2000,Ivan Cankar,46.57926106,15.66990378
Maribor,2000,Koroška Vrata,46.56721127,15.63262397
Maribor,2000,Magdalena,46.5546713,15.64415208
Maribor,2000,Nova Vas,46.54114601,15.63019246
Maribor,2000,Pobrežje,46.55012414,15.66731108
Maribor,2000,Radvanje,46.53526979,15.61466254
Maribor,2000,Studenci,46.55996881,15.61496577
Maribor,2000,Tabor,46.54093919,15.64502527
Maribor,2000,Tezno,46.52726884,15.6714249
Graz,8010,Innere Stadt,47.06729027,15.44168255
Graz,8010,St. Leonhard ,47.06948257,15.45897743
Graz,8010,Geidorf ,47.08472902,15.44399009
Graz,8020,Lend ,47.0837793,15.41551576
Graz,8020,Gries ,47.0635755,15.42399286
Graz,8010,Jakomini ,47.05630295,15.44739489
Graz,8041,Liebenau ,47.03135647,15.46520004
Graz,8042,St. Peter ,47.04708977,15.47901074
Graz,8010,Waltendorf ,47.0749611,15.4717757
Graz,8010,Ries ,47.08449664,15.48116933
Graz,8043,Mariatrost ,47.09531866,15.46390602
Graz,8045,Andritz ,47.11615235,15.42356355
Graz,8051,Gösting ,47.09850567,15.39839965
Graz,8020,Eggenberg ,47.06981588,15.39206496
Graz,8052,Wetzelsdorf ,47.05177516,15.39493221
Graz,8053,Straßgang ,47.04099014,15.40094355
Graz,8055,Puntigam ,47.0292594,15.43262097
